text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
dmT),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,verb G,,,,"to come, to reach","to happen, occur","to be able, achieve",,דמטא,mTy,conjunction | verb peal,"to come, to reach | to happen, occur | to be able, achieve"
lkwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,לכון,l_,preposition independent,
)r(yy{^t^}),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A02C,,,,,lower,,,,ארעייא,)r(y,A02C,lower
mwd(n),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,to inform (about),,,,מודענא,yd(,verb (h)aphel,to inform (about)
drwm),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,south,,,,דרומא,drwm,noun sg. emphatic,south
(yl)h,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A,,,,,"supreme, highest, exalted",,,,עילאה,(yly,adjective,"supreme, highest, exalted"
wbny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. construct,c,,,,son,"and, also",,,ובני,w_,noun pl. construct | conjunction,"son | and, also"
drwm),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,south,,,,דרומא,drwm,noun sg. emphatic,south
bny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. construct,,,,,son,,,,בני,br,noun pl. construct,son
l)xn),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. emphatic,p03,,,,brother,,,,לאחנא,l_,noun pl. emphatic | preposition proclitic,brother
zyt),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,olive,,,,זיתא,zyyt,noun,olive
mN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,from,,,,מן,mn,preposition independent,from
m(Tny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. construct,,,,,olive vat,,,,מעטני,m(Tn,noun pl. construct,olive vat
m($ry),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,"tenth, tithe",,,,מעשריא,m(&r,noun,"tenth, tithe"
tpqwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,תפקון,npq,verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
by(wr),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,elimination,,,,ביעורא,by(wr,noun,elimination
zmN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,set time; instance,,,,זמן,zmn,noun sg. abs. or construct,set time; instance
dmT),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,verb G,,,,"to come, to reach","to happen, occur","to be able, achieve",,דמטא,mTy,conjunction | verb peal,"to come, to reach | to happen, occur | to be able, achieve"
lkwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,לכון,l_,preposition independent,
mwd(n),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,to inform (about),,,,מודענא,yd(,verb (h)aphel,to inform (about)
ysg),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be(come) many,to grow,to be sufficient for someone,,יסגא,sgy,verb peal,to be(come) many | to grow | to be sufficient for someone
$lmkwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,wellbeing; peace,,,,שלמכון,$lm,noun sg. emphatic,wellbeing; peace
)r(yy{t}),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A02C,,,,,lower,,,,ארעייא,)r(y,A02C,lower
glyl),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",GN Geographic name,,,,,,,,,גלילא,glyl),geographical name Geographic name,
bny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. construct,,,,,son,,,,בני,br,noun pl. construct,son
(yl)h,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A,,,,,"supreme, highest, exalted",,,,עילאה,(yly,adjective,"supreme, highest, exalted"
glyl),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",GN Geographic name,,,,,,,,,גלילא,glyl),geographical name Geographic name,
bny,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. construct,,,,,son,,,,בני,br,noun pl. construct,son
kwyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,"to burn, sear",to flash up (?),,,כויה,kwy,verb peal,"to burn, sear | to flash up (?)"
{)xynw}<l)xn)>#14#,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. emphatic,p03,,,,brother,,,,לאחנא,l_,noun pl. emphatic | preposition proclitic,brother
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"no, not",,,,לא,l),a01C,"no, not"
kwyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,"to burn, sear",to flash up (?),,,כויה,kwy,verb peal,"to burn, sear | to flash up (?)"
b$(th,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,p02,,,,moment of time; hour,"in, with",,,בשעתה,b_,noun sg. emphatic | preposition with pronominal suffix,"moment of time; hour | in, with"
